Subclass/&RangerArcanistRangerSubclassTitle	Ranger Arcanist
Subclass/&RangerArcanistRangerSubclassDescription	The Ranger Arcanist melds their ranger skills with arcane abilities. Their weapons can afflict their opponents with the Arcanist's Mark, and have learned how to cast some Wizard spells as part of their Ranger spell repertoire.
Feature/&RangerArcanistMagicTitle	Ranger Arcanist Spellcasting
Feature/&RangerArcanistMagicDescription	Beginning at 3rd level, you learn an additional spell when you reach certain levels in this class. Each spell counts as a ranger spell for you, but it doesn't count against the number of ranger spells you know. The spells are: Shield - Level 3, Misty Step - Level 5, Haste - Level 9, Dimension Door - Level 13, and Hold Monster - Level 17. Additionally, you are proficient at casting spells in battle, and may cast spells that require a somatic component even if both hands are holding a weapon or shield.
Feature/&ArcanistMarkTitle	Arcanist's Mark
Feature/&ArcanistMarkDescription	Beginning at 3rd level, you imbue your weapons with arcane power. Creatures that are hit by your attacks are afflicted by the Arcanist's Mark.
Feature/&ArcaneDetonationTitle	Arcane Detonation
Feature/&ArcaneDetonationDescription	When you hit a creature that has your Arcanist's Mark with a weapon attack, the mark detonates, dealing 1d6 force damage and destroying the mark. At 11th level, the damage increases to 2d6.
Feature/&ArcanePulseTitle	Arcanist's Blast
Feature/&ArcanePulseDescription	Beginning at 7th level, you can cause an eruption of arcane energy at a range of 30 feet. Hostile creates within 15 feet of the point of impact take 4d8 damage and gain an Arcanist's Mark. You may use this ability a number of times equal to your wisdom modifier per long rest. At 15th level, the damage increases to 8d8.
Feature/&ArcanePulseUpgradeTitle	Greater Arcanist's Blast
Feature/&ArcanePulseUpgradeDescription	Beginning at 15th level, the damage of your Arcanist's Blast increases to 8d8.
Feedback/&AdditionalDamageArcanistMarkLine	Arcanist's Mark detonates and deals extra damage to the target!
Feedback/&AdditionalDamageArcanistMarkFormat Arcanist's Mark!
Condition/&ConditionMarkedByArcanistTitle	Arcanist's Mark
Condition/&ConditionMarkedByArcanistDescription	Afflicted by Arcanist's Mark.
